country,location_name,latitude,longitude,last_updated,temperature_fahrenheit,wind_mph,humidity,cloud,uv_index
Burundi,Bujumbura,-3.38,29.36,2024-05-16,87.8,20.6,55,25,6
Madagascar,Ivory,-24.37,46.45,2024-05-16,82,11.4,48,19,8
Cape Verde,Praia,14.93,-23.51,2024-05-16,78.8,19.2,58,25,6
Cambodia,Phnom Penh,11.55,104.92,2024-05-16,86,9.4,75,50,1
Cameroon,Yaounde,3.87,11.52,2024-05-16,89.6,4.3,56,75,6
Canada,Ottawa,45.42,-75.7,2024-05-16,60.8,6.9,63,75,5
Central African Republic,Bangui,4.37,18.58,2024-05-16,95,2.2,53,50,9
Chad,N'djamena,12.11,15.05,2024-05-16,107.6,6.9,25,50,10
Chile,Santiago,-33.45,-70.67,2024-05-16,35.6,4.3,87,0,4
China,Beijing,39.93,116.39,2024-05-16,73.4,4.3,47,0,1
Bulgaria,Bogot,43.32,24.7,2024-05-16,66.9,12.3,61,52,5
Comoros,Moroni,-11.7,43.24,2024-05-16,78.5,17.4,79,80,7
Congo,Brazzaville,-4.26,15.28,2024-05-16,89.6,16.1,56,25,9
Costa Rica,San Juan,9.97,-84.08,2024-05-16,73.4,5.6,89,0,4
Croatia,Zagreb,45.8,16,2024-05-16,68,9.4,68,75,4
Cuba,Havana,23.13,-82.36,2024-05-16,84.2,10.5,75,25,8
Cyprus,Nicosia,35.17,33.37,2024-05-16,78.8,16.1,54,25,6
Czech Republic,Prague,50.08,14.47,2024-05-16,66.2,25.5,49,50,4
Democratic Republic of Congo,Kinshasa,-4.3,15.3,2024-05-16,89.6,16.1,56,25,8
Denmark,Copenhagen,55.67,12.58,2024-05-16,64.4,21.7,42,0,5
Djibouti,Djibouti,11.6,43.15,2024-05-16,95,11.9,53,75,8
Dominica,Roseau,15.3,-61.4,2024-05-16,86,11.9,79,50,6
Dominican Republic,Santo Domingo,18.47,-69.9,2024-05-16,82.4,6.9,84,25,6
Ecuador,Quito,-0.22,-78.5,2024-05-16,61.2,2.2,66,14,6
Egypt,Cairo,30.05,31.25,2024-05-16,89.6,23,23,0,8
El Salvador,San Salvador,13.71,-89.2,2024-05-16,78.8,4.3,89,50,6
Equatorial Guinea,Malabo,3.75,8.78,2024-05-16,89.6,9.4,80,50,6
Eritrea,Asmara,15.33,38.93,2024-05-16,71.9,6.7,52,82,5
Estonia,Tallinn,59.43,24.73,2024-05-16,68,18.6,37,0,4
Swaziland,Mbabane,-26.32,31.13,2024-05-16,72.6,4.7,38,2,7
Ethiopia,Addis Ababa,9.03,38.7,2024-05-16,78.8,6.9,39,75,6
Fiji Islands,Suva,-18.13,178.42,2024-05-17,75.2,2.2,100,75,1
Finland,Helsinki,60.18,24.93,2024-05-16,78.8,15,30,0,5
France,Paris,48.87,2.33,2024-05-16,64.4,6.9,52,75,4
Gabon,Libreville,0.38,9.45,2024-05-16,87.8,8.1,71,25,6
Gambia,Banjul,13.45,-16.58,2024-05-16,86,8.1,52,0,6
Georgia,Tbilisi,41.73,44.79,2024-05-16,55.4,5.6,88,62,5
Germany,Berlin,52.52,13.4,2024-05-16,75.2,24.2,31,0,5
Ghana,Accra,5.55,-0.22,2024-05-16,87.8,10.5,71,25,7
Greece,Athens,37.98,23.72,2024-05-16,69.8,11.9,43,25,6
Grenada,Saint George's,12.05,-61.75,2024-05-16,87.8,15,66,25,6
Guatemala,Guatemala City,14.62,-90.53,2024-05-16,69.8,2.2,83,75,5
Guinea,Conakry,9.51,-13.71,2024-05-16,87.8,6.9,71,50,6
Guinea-Bissau,Bissau,11.85,-15.58,2024-05-16,93.2,5.6,44,25,8
Guyana,Georgetown,6.8,-58.17,2024-05-16,84.2,2.2,84,75,6
Haiti,Port-Au-Prince,18.54,-72.34,2024-05-16,86,4.3,61,25,7
Vatican City,Vatican City,41.9,12.45,2024-05-16,71.6,12.5,69,25,6
Honduras,Tegucigalpa,14.1,-87.22,2024-05-16,77,2.5,69,75,6
Hungary,Budapest,47.5,19.08,2024-05-16,71.6,19.2,38,0,5
Iceland,Grindavik,63.83,-22.43,2024-05-16,48.2,11.9,66,75,2
India,New Delhi,28.6,77.2,2024-05-16,100.4,6.9,23,0,1
Indonesia,Jakarta,-6.21,106.85,2024-05-16,84.2,9.4,84,75,1
Iran,Tehran,35.73,51.33,2024-05-16,78.8,16.1,17,25,6
Iraq,Baghdad,33.34,44.39,2024-05-16,95,11.9,16,50,8
Ireland,Dublin,53.33,-6.25,2024-05-16,66.2,9.4,64,75,4
Israel,Jerusalem,31.78,35.23,2024-05-16,77,13.6,51,0,6
Italy,Rome,41.9,12.48,2024-05-16,71.6,12.5,69,25,6
Jamaica,Norman Gardens,17.97,-76.75,2024-05-16,87.8,11.9,66,25,8
Japan,Tokyo,35.69,139.69,2024-05-16,64.9,11.9,44,0,1
Jordan,Amman,31.95,35.93,2024-05-16,77,13.6,21,0,6
Kazakhstan,Astana,51.18,71.43,2024-05-16,59,11.9,41,0,5
